customer_id,customer_type,first_transaction,last_transaction,transaction_count,total_amount,avg_amount
1,regular,2023-02-02,2024-07-19,6,351.86,58.64
2,regular,2023-02-19,2024-11-06,5,245.95,49.19
3,regular,2023-08-08,2024-11-25,6,393.37,65.56
4,regular,2024-04-24,2024-10-17,3,65.61,21.87
5,regular,2023-02-18,2023-08-13,2,40.87,20.43
6,regular,2023-01-06,2024-08-20,8,452.82,56.6
7,regular,2023-02-20,2024-09-02,5,261.53,52.31
8,premium,2023-01-13,2024-09-07,20,2696.57,134.83
9,premium,2023-02-26,2024-11-25,19,2730.22,143.7
10,regular,2023-01-09,2024-11-05,8,594.43,74.3
11,regular,2023-03-31,2024-08-20,8,153.81,19.23
12,regular,2023-01-12,2024-10-22,5,148.95,29.79
13,premium,2023-01-05,2024-11-22,19,2919.62,153.66
14,regular,2023-02-07,2024-08-19,8,425.1,53.14
15,regular,2023-01-22,2024-06-20,4,215.02,53.75
16,premium,2023-01-02,2024-11-08,21,2878.55,137.07
17,regular,2023-04-19,2024-11-18,7,550.66,78.67
18,regular,2023-02-28,2024-11-26,8,534.67,66.83
19,regular,2023-05-21,2024-09-30,4,52.37,13.09
20,regular,2023-02-18,2024-11-19,10,504.25,50.42
21,regular,2023-01-08,2024-11-26,8,333.24,41.66
22,premium,2023-01-23,2024-10-04,23,3453.04,150.13
23,regular,2023-01-15,2024-09-10,6,178.12,29.69
24,regular,2023-02-27,2024-10-30,5,286.32,57.26
25,regular,2023-06-09,2024-11-12,5,182.91,36.58
26,premium,2023-01-05,2024-11-23,21,3326.31,158.4
27,regular,2023-01-07,2024-07-11,4,141.41,35.35
28,regular,2023-05-27,2024-01-14,4,97.96,24.49
29,premium,2023-01-06,2024-11-22,19,3082.73,162.25
30,regular,2023-01-12,2024-11-12,10,500.88,50.09
31,premium,2023-01-14,2024-10-07,15,1115.23,74.35
32,premium,2023-01-08,2024-10-26,17,3212.41,188.97
33,regular,2023-08-09,2024-10-03,4,41.71,10.43
34,premium,2023-04-28,2024-11-20,25,2434.83,97.39
35,regular,2023-03-04,2024-03-04,7,535.91,76.56
36,regular,2023-01-21,2024-08-06,3,188.22,62.74
37,regular,2023-03-22,2024-06-26,5,286.95,57.39
38,regular,2023-02-05,2024-09-07,7,248.76,35.54
39,vip,2023-02-06,2024-11-24,51,27183.8,533.02
