customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_segment,is_high_value,segment_category
1,131,6,351.86,2,2,3,223,0,Lost
2,21,5,245.95,4,1,2,412,0,New Customers
3,2,6,393.37,5,2,3,523,1,New Customers
4,41,3,65.61,3,1,1,311,0,Others
5,472,2,40.87,1,1,1,111,0,Lost
6,99,8,452.82,2,3,3,233,1,At Risk
7,86,5,261.53,2,1,2,212,0,Lost
8,81,17,2696.57,2,4,5,245,1,At Risk
9,2,18,2730.22,5,4,5,545,1,Champions
10,22,8,594.43,4,3,4,434,1,Loyal Customers
11,99,7,153.81,2,3,1,231,0,At Risk
12,36,5,148.95,4,1,1,411,0,New Customers
13,5,18,2919.62,5,4,5,545,1,Champions
14,100,8,425.1,2,3,3,233,1,At Risk
15,160,4,215.02,1,1,2,112,0,Lost
16,19,21,2878.55,4,5,5,455,1,Champions
17,9,7,550.66,5,3,4,534,1,Loyal Customers
18,1,8,534.67,5,3,4,534,1,Loyal Customers
19,58,4,52.37,3,1,1,311,0,Others
20,8,10,504.25,5,4,4,544,1,Champions
21,1,8,333.24,5,3,3,533,0,Loyal Customers
22,54,22,3453.04,3,5,5,355,1,Potential Loyalists
23,78,6,178.12,2,2,1,221,0,Lost
24,28,5,286.32,4,1,2,412,0,New Customers
25,15,5,182.91,5,1,1,511,0,New Customers
26,4,21,3326.31,5,5,5,555,1,Champions
27,139,4,141.41,2,1,1,211,0,Lost
28,318,4,97.96,1,1,1,111,0,Lost
29,5,19,3082.73,5,5,5,555,1,Champions
30,15,10,500.88,5,4,4,544,1,Champions
31,51,15,1115.23,3,4,4,344,1,Potential Loyalists
32,32,17,3212.41,4,4,5,445,1,Champions
33,55,4,41.71,3,1,1,311,0,Others
34,7,25,2434.83,5,5,4,554,1,Champions
35,268,7,535.91,1,3,4,134,1,At Risk
36,113,3,188.22,2,1,1,211,0,Lost
37,154,5,286.95,1,1,2,112,0,Lost
38,81,7,248.76,2,3,2,232,0,At Risk
39,3,51,27183.8,5,5,5,555,1,Champions
40,226,4,174.42,1,1,1,111,0,Lost
41,224,5,490.89,1,1,4,114,1,Lost
42,7,4,257.1,5,1,2,512,0,New Customers
43,113,7,405.87,2,3,3,233,1,At Risk
44,22,5,299.57,4,1,2,412,0,New Customers
45,75,5,366.57,3,1,3,313,0,Others
46,2,30,5400.81,5,5,5,555,1,Champions
47,9,8,493.94,5,3,4,534,1,Loyal Customers
48,59,7,264.48,3,3,2,332,0,Others
49,24,4,126.28,4,1,1,411,0,New Customers
50,14,9,662.48,5,4,4,544,1,Champions
51,121,6,166.17,2,2,1,221,0,Lost
52,12,9,255.16,5,4,2,542,0,Loyal Customers
53,86,6,463.51,2,2,3,223,1,Lost
54,102,8,511.79,2,3,4,234,1,At Risk
55,3,23,3481.27,5,5,5,555,1,Champions
56,26,24,3827.2,4,5,5,455,1,Champions
57,459,3,172.36,1,1,1,111,0,Lost
58,55,33,18136.86,3,5,5,355,1,Potential Loyalists
59,25,9,484.09,4,4,4,444,1,Champions
60,43,5,262.71,3,1,2,312,0,Others
61,80,6,247.13,2,2,2,222,0,Lost
62,65,7,480.26,3,3,4,334,1,Potential Loyalists
63,183,3,111.9,1,1,1,111,0,Lost
64,79,7,455.61,2,3,3,233,1,At Risk
65,138,19,3476.06,2,5,5,255,1,At Risk
66,122,16,2135.05,2,4,4,244,1,At Risk
67,104,7,473.78,2,3,4,234,1,At Risk
68,20,10,746.65,4,4,4,444,1,Champions
69,19,6,232.99,4,2,2,422,0,New Customers
70,137,9,387.15,2,4,3,243,1,At Risk
71,163,8,80.0,1,3,1,131,0,At Risk
72,70,3,244.29,3,1,2,312,0,Others
73,22,29,3039.07,4,5,5,455,1,Champions
74,72,19,2447.05,3,5,4,354,1,Potential Loyalists
75,382,5,401.23,1,1,3,113,1,Lost
76,41,17,2776.82,3,4,5,345,1,Potential Loyalists
77,62,24,2732.59,3,5,5,355,1,Potential Loyalists
78,26,5,189.7,4,1,1,411,0,New Customers
79,194,5,164.46,1,1,1,111,0,Lost
80,424,4,46.81,1,1,1,111,0,Lost
81,41,7,333.31,3,3,3,333,0,Others
82,30,25,2692.4,4,5,5,455,1,Champions
83,148,19,2486.48,1,5,4,154,1,At Risk
84,124,5,161.68,2,1,1,211,0,Lost
85,214,7,145.57,1,3,1,131,0,At Risk
86,64,4,284.0,3,1,2,312,0,Others
87,116,9,282.42,2,4,2,242,0,At Risk
88,1,7,543.19,5,3,4,534,1,Loyal Customers
89,547,1,55.01,1,1,1,111,0,Lost
90,75,3,55.37,3,1,1,311,0,Others
91,162,2,80.37,1,1,1,111,0,Lost
92,231,5,309.86,1,1,3,113,0,Lost
93,12,9,442.01,5,4,3,543,1,Loyal Customers
94,13,9,510.02,5,4,4,544,1,Champions
95,3,20,2704.62,5,5,5,555,1,Champions
96,119,5,309.31,2,1,3,213,0,Lost
97,79,7,403.2,2,3,3,233,1,At Risk
98,26,10,696.5,4,4,4,444,1,Champions
99,15,4,196.42,5,1,1,511,0,New Customers
100,235,4,105.58,1,1,1,111,0,Lost
101,8,5,283.75,5,1,2,512,0,New Customers
102,91,12,772.17,2,4,4,244,1,At Risk
103,84,8,277.23,2,3,2,232,0,At Risk
104,280,3,185.48,1,1,1,111,0,Lost
105,357,5,237.86,1,1,2,112,0,Lost
106,38,4,204.74,4,1,2,412,0,New Customers
107,32,5,262.34,4,1,2,412,0,New Customers
108,1,7,459.53,5,3,3,533,1,Loyal Customers
109,43,5,110.03,3,1,1,311,0,Others
110,22,7,357.22,4,3,3,433,0,Loyal Customers
111,59,3,199.84,3,1,2,312,0,Others
112,141,4,182.26,2,1,1,211,0,Lost
113,82,5,232.15,2,1,2,212,0,Lost
114,108,6,373.94,2,2,3,223,1,Lost
115,79,8,356.77,2,3,3,233,0,At Risk
116,39,16,2774.97,4,4,5,445,1,Champions
117,390,7,359.76,1,3,3,133,0,At Risk
118,21,20,2839.82,4,5,5,455,1,Champions
119,76,7,151.43,2,3,1,231,0,At Risk
120,11,8,103.07,5,3,1,531,0,Loyal Customers
121,7,7,434.91,5,3,3,533,1,Loyal Customers
122,25,21,2622.26,4,5,4,454,1,Champions
123,62,3,148.04,3,1,1,311,0,Others
124,314,2,69.54,1,1,1,111,0,Lost
125,220,6,323.78,1,2,3,123,0,Lost
126,129,18,3053.93,2,4,5,245,1,At Risk
127,56,4,170.29,3,1,1,311,0,Others
128,14,24,3443.34,5,5,5,555,1,Champions
129,43,7,558.46,3,3,4,334,1,Potential Loyalists
130,45,10,416.4,3,4,3,343,1,Others
131,50,12,1677.95,3,4,4,344,1,Potential Loyalists
132,190,4,318.94,1,1,3,113,0,Lost
133,446,2,109.19,1,1,1,111,0,Lost
134,18,12,2032.13,4,4,4,444,1,Champions
135,76,12,1113.61,2,4,4,244,1,At Risk
136,58,3,167.72,3,1,1,311,0,Others
137,171,7,292.48,1,3,2,132,0,At Risk
138,42,11,381.09,3,4,3,343,1,Others
139,6,4,192.75,5,1,1,511,0,New Customers
140,73,18,2828.28,3,4,5,345,1,Potential Loyalists
141,70,8,728.25,3,3,4,334,1,Potential Loyalists
142,8,20,2988.29,5,5,5,555,1,Champions
143,163,3,119.55,1,1,1,111,0,Lost
144,146,5,216.13,1,1,2,112,0,Lost
145,65,7,403.96,3,3,3,333,1,Others
146,190,3,134.3,1,1,1,111,0,Lost
147,6,14,1905.28,5,4,4,544,1,Champions
148,25,18,2569.89,4,4,4,444,1,Champions
149,12,23,3411.85,5,5,5,555,1,Champions
150,9,7,315.3,5,3,3,533,0,Loyal Customers
151,4,10,328.67,5,4,3,543,0,Loyal Customers
152,12,14,2515.7,5,4,4,544,1,Champions
153,123,7,468.27,2,3,3,233,1,At Risk
154,43,5,177.39,3,1,1,311,0,Others
155,8,9,311.02,5,4,3,543,0,Loyal Customers
156,20,21,2341.72,4,5,4,454,1,Champions
157,31,42,25044.77,4,5,5,455,1,Champions
158,98,6,371.97,2,2,3,223,0,Lost
159,53,5,251.34,3,1,2,312,0,Others
160,67,4,176.23,3,1,1,311,0,Others
161,266,7,320.8,1,3,3,133,0,At Risk
162,68,7,424.76,3,3,3,333,1,Others
163,14,7,339.01,5,3,3,533,0,Loyal Customers
